TaskID,TaskAO,StationID,Team,Start,End,Duration
245,AFHS00-0010,2,[33],163.7575562087522,166.0883170215679,2.330760812815697
259,AYZQ00-0120,1,[66],161.21269338801787,168.59445316146105,7.381759773443179
244,AAQX00-0140,3,"[81, 71]",163.88561737267216,172.64992357020307,8.764306197530914
253,AWHS00-0060,2,[50],166.71277338503072,169.36259232105556,2.649818936024843
248,AKHD00-0080,4,[18],171.2881895196917,177.96848113265128,6.680291612959564
286,ENQSA2-0110,4,"[18, 53]",177.96848113265128,179.80725961975102,1.838778487099745
260,ACWB00-0170,2,"[59, 33]",166.71277338503072,169.38084420381003,2.668070818779313
255,ADHD00-0700,4,[18],179.80725961975102,182.86905997922568,3.0618003594746597
275,ABWCB2-0200,4,"[18, 32]",182.86905997922568,186.70431302664764,3.8352530474219577
274,ABWCB2-0190,3,"[75, 91]",166.98698063594745,170.51431278306293,3.5273321471154873
262,ACWC00-0180,4,[53],179.80725961975102,181.48567957893556,1.678419959184538
276,ABWCB3-0210,5,"[0, 42]",170.51431278306293,171.63087411955794,1.1165613364950104
277,ABWCB3-0220,5,"[4, 5]",186.70431302664764,187.57078098128343,0.8664679546357945
291,B,0,[],187.57078098128343,187.57078098128343,0.0
292,B-1,0,[],187.57078098128343,187.57078098128343,0.0
299,BMYY00-0280,4,"[87, 19]",187.57078098128343,189.67789643135336,2.1071154500699265
300,BMYY00-0290,5,"[29, 42]",187.57078098128343,190.14331460610003,2.5725336248166
301,BMZY00-0240,1,"[51, 38]",187.57078098128343,189.39858633327952,1.8278053519960906
294,DMYG00-2070,1,"[27, 1]",187.57078098128343,190.04900040641837,2.478219425134938
302,BMYY00-0250,4,"[53, 19]",189.67789643135336,191.438465001073,1.760568569719652
296,DMYG00-1760,1,"[27, 13]",190.04900040641837,191.11420461179682,1.0652042053784498
298,BMZY00-0270,2,"[50, 47]",187.57078098128343,190.03510462926204,2.4643236479786026
297,BMZY00-0260,4,"[87, 53]",191.438465001073,193.7314559985355,2.292990997462482
295,DMYG00-2080,4,"[87, 18]",193.7314559985355,194.87643592716404,1.144979928628544
293,DMZG00-1790,5,"[78, 5]",187.57078098128343,188.47713256768614,0.9063515864027067
303,B-2,0,[],194.87643592716404,194.87643592716404,0.0
306,DMZY00-0780,3,"[75, 35]",194.87643592716404,209.71505714278314,14.8386212156191
305,CMQQ00-0630,3,"[91, 21]",194.87643592716404,200.6721227592643,5.795686832100273
304,CMYG00-0620,5,"[15, 4]",194.87643592716404,205.45756475956532,10.581128832401276
309,DMYY00-0810,1,"[66, 38]",194.87643592716404,212.29226597790043,17.41583005073639
308,DMYY00-0800,1,"[13, 1]",194.87643592716404,209.45472108550302,14.578285158338986
307,DMZY00-0790,2,"[22, 77]",194.87643592716404,212.46758418925106,17.591148262087017
310,B-3,0,[],212.46758418925106,212.46758418925106,0.0
312,DMYG00-1730,3,"[81, 21]",212.46758418925106,240.17347233560324,27.70588814635218
316,FMQQ00-3180,4,"[18, 32]",212.46758418925106,213.47686131965844,1.0092771304073835
315,FMQQ00-3170,3,"[75, 70]",212.46758418925106,218.39365783106504,5.926073641813986
311,DMZG00-1720,5,"[5, 42]",212.46758418925106,239.9884444805525,27.52086029130143
314,DMYG00-1750,5,"[0, 29]",212.46758418925106,217.72867734897838,5.261093159727324
313,DMYG00-1740,4,"[32, 18]",213.47686131965844,219.22974077047618,5.752879450817744
317,B-4,0,[],240.17347233560324,240.17347233560324,0.0
